Listening for transport dt_socket at address: 5008
Starting daemon of retina...
2026-01-25 16:16:53,496 [io.pixelsdb.pixels.daemon.Daemon]-[INFO] starting daemon thread...
2026-01-25 16:16:54,501 [io.pixelsdb.pixels.common.utils.EtcdUtil]-[INFO] Using etcd host: realtime-pixels-coordinator
2026-01-25 16:16:54,863 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker on realtime-pixels-retina is initialized
2026-01-25 16:16:54,863 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Starting heartbeat worker
2026-01-25 16:16:54,864 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker is running
2026-01-25 16:16:55,089 [io.pixelsdb.pixels.daemon.retina.RetinaServer]-[INFO] Metadata server is ready
2026-01-25 16:16:55,106 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] Pre-loading checkpoints...
2026-01-25 16:16:55,108 [io.pixelsdb.pixels.common.physical.StorageFactory]-[WARN] no storage provider exists for scheme: httpstream
2026-01-25 16:16:55,109 [io.pixelsdb.pixels.retina.RetinaResourceManager]-[INFO] Loading system state from GC checkpoint: 1260752060
2026-01-25 16:17:39,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357859105 CPU_Usage[Process: 100.2813%, System: 6.2666%] Retina_Mem[Allocated: 0.0656 GiB (70457088 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.9758 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:43,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357863105 CPU_Usage[Process: 100.0000%, System: 6.2666%] Retina_Mem[Allocated: 0.0661 GiB (70933248 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.0619 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:47,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357867105 CPU_Usage[Process: 100.5314%, System: 6.2676%] Retina_Mem[Allocated: 0.0661 GiB (70939544 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.1477 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:51,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357871105 CPU_Usage[Process: 100.0313%, System: 6.2676%] Retina_Mem[Allocated: 0.0651 GiB (69943440 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.2337 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:55,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357875105 CPU_Usage[Process: 107.8005%, System: 6.8928%] Retina_Mem[Allocated: 0.0666 GiB (71535352 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.3471 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:59,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357879105 CPU_Usage[Process: 100.7500%, System: 6.2979%] Retina_Mem[Allocated: 0.0707 GiB (75882280 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.4400 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:03,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357883105 CPU_Usage[Process: 100.2813%, System: 6.2676%] Retina_Mem[Allocated: 0.0710 GiB (76214280 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.5259 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:07,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357887105 CPU_Usage[Process: 100.5314%, System: 6.2676%] Retina_Mem[Allocated: 0.0706 GiB (75851896 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.6119 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:11,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357891105 CPU_Usage[Process: 100.2813%, System: 6.2666%] Retina_Mem[Allocated: 0.0703 GiB (75497336 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.6978 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:15,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357895105 CPU_Usage[Process: 107.0000%, System: 6.7354%] Retina_Mem[Allocated: 0.0708 GiB (76060088 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.8224 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:19,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357899105 CPU_Usage[Process: 100.2657%, System: 6.2812%] Retina_Mem[Allocated: 0.0703 GiB (75536824 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.9063 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:23,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357903105 CPU_Usage[Process: 100.2657%, System: 6.2832%] Retina_Mem[Allocated: 0.0708 GiB (76033112 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.9922 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:27,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357907105 CPU_Usage[Process: 99.5311%, System: 6.2520%] Retina_Mem[Allocated: 0.0754 GiB (80975552 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 2.0885 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:31,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357911105 CPU_Usage[Process: 747.2056%, System: 46.3057%] Retina_Mem[Allocated: 0.3302 GiB (354594376 Bytes), Tracked: 83722344 Bytes, Objects: 125119, Pure_Tracked: 82721392 Bytes] JVM_Heap[Used: 2.9452 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:35,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357915105 CPU_Usage[Process: 593.4545%, System: 37.1067%] Retina_Mem[Allocated: 0.6532 GiB (701347040 Bytes), Tracked: 343699504 Bytes, Objects: 513598, Pure_Tracked: 339590720 Bytes] JVM_Heap[Used: 3.0549 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:39,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357919105 CPU_Usage[Process: 184.0909%, System: 11.7266%] Retina_Mem[Allocated: 0.8681 GiB (932131872 Bytes), Tracked: 591840352 Bytes, Objects: 884388, Pure_Tracked: 584765248 Bytes] JVM_Heap[Used: 3.4285 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:41,567 [io.pixelsdb.pixels.retina.RetinaResourceManager]-[INFO] Dropping 5705 orphaned entries from recovery cache.
2026-01-25 16:18:41,569 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] Retina service is ready
2026-01-25 16:18:43,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357923105 CPU_Usage[Process: 60.9978%, System: 3.8908%] Retina_Mem[Allocated: 0.9270 GiB (995338672 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0632 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:47,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357927105 CPU_Usage[Process: 0.5001%, System: 0.0469%] Retina_Mem[Allocated: 0.9223 GiB (990345200 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0642 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:51,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357931105 CPU_Usage[Process: 0.2501%, System: 0.0469%] Retina_Mem[Allocated: 0.9210 GiB (988961376 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0695 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:55,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357935105 CPU_Usage[Process: 1.0002%, System: 0.0625%] Retina_Mem[Allocated: 0.9223 GiB (990312832 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0708 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:59,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357939105 CPU_Usage[Process: 0.2501%, System: 0.0313%] Retina_Mem[Allocated: 0.9203 GiB (988131648 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0709 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:03,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357943105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9211 GiB (989033600 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0709 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:07,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357947105 CPU_Usage[Process: 0.2500%, System: 0.0313%] Retina_Mem[Allocated: 0.9206 GiB (988443664 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0710 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:11,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357951105 CPU_Usage[Process: 0.5001%, System: 0.0156%] Retina_Mem[Allocated: 0.9199 GiB (987695024 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0710 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:15,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357955105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9201 GiB (987946032 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0710 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:19,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357959105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9201 GiB (987946032 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0710 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:23,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357963105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9204 GiB (988218416 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0711 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:27,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357967105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9199 GiB (987733296 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0715 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:31,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357971105 CPU_Usage[Process: 0.5002%, System: 0.0156%] Retina_Mem[Allocated: 0.9195 GiB (987311808 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0725 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:35,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357975105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9199 GiB (987776128 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0732 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:39,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357979105 CPU_Usage[Process: 3.2505%, System: 0.2032%] Retina_Mem[Allocated: 0.9350 GiB (1003961704 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0733 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:43,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357983105 CPU_Usage[Process: 0.2500%, System: 0.0156%] Retina_Mem[Allocated: 0.9350 GiB (1003961704 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0733 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:47,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357987105 CPU_Usage[Process: 0.2500%, System: 0.0313%] Retina_Mem[Allocated: 0.9200 GiB (987834992 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0733 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:51,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357991105 CPU_Usage[Process: 0.0000%, System: 0.0156%] Retina_Mem[Allocated: 0.9197 GiB (987507312 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0733 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:55,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357995105 CPU_Usage[Process: 0.7501%, System: 0.0156%] Retina_Mem[Allocated: 0.9197 GiB (987548656 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0734 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:19:59,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357999105 CPU_Usage[Process: 0.0000%, System: 0.0156%] Retina_Mem[Allocated: 0.9194 GiB (987223024 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0734 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:03,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358003105 CPU_Usage[Process: 0.0000%, System: 0.0156%] Retina_Mem[Allocated: 0.9195 GiB (987255792 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0734 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:07,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358007105 CPU_Usage[Process: 0.5001%, System: 0.0156%] Retina_Mem[Allocated: 0.9200 GiB (987885120 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0734 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:11,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358011105 CPU_Usage[Process: 0.2501%, System: 0.0000%] Retina_Mem[Allocated: 0.9196 GiB (987366464 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0735 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:15,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358015105 CPU_Usage[Process: 0.7499%, System: 0.0625%] Retina_Mem[Allocated: 0.9199 GiB (987726608 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0735 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:19,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358019105 CPU_Usage[Process: 0.2501%, System: 0.0000%] Retina_Mem[Allocated: 0.9198 GiB (987600656 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0735 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:23,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358023105 CPU_Usage[Process: 0.2500%, System: 0.0313%] Retina_Mem[Allocated: 0.9198 GiB (987603856 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0735 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:27,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358027105 CPU_Usage[Process: 0.2500%, System: 0.0313%] Retina_Mem[Allocated: 0.9198 GiB (987640104 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0736 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:31,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358031105 CPU_Usage[Process: 0.5002%, System: 0.0156%] Retina_Mem[Allocated: 0.9197 GiB (987556024 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0736 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:35,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358035105 CPU_Usage[Process: 0.5001%, System: 0.0469%] Retina_Mem[Allocated: 0.9216 GiB (989575712 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0736 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:20:39,108 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769358039105 CPU_Usage[Process: 0.0000%, System: 0.0000%] Retina_Mem[Allocated: 0.9196 GiB (987406880 Bytes), Tracked: 685673232 Bytes, Objects: 1024606, Pure_Tracked: 677476384 Bytes] JVM_Heap[Used: 4.0736 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
